"date","location","location_type","location_code","location_code_type","data_type","value"
2020-03-02,"Gafsa","state_government","TN-71","ISO 3166-2:TN","cases_new",1
2020-03-08,"Mahdia","state_government","TN-53","ISO 3166-2:TN","cases_new",1
2020-03-09,"Bizerte","state_government","TN-23","ISO 3166-2:TN","cases_new",1
2020-03-09,"Mahdia","state_government","TN-53","ISO 3166-2:TN","cases_new",1
2020-03-09,"Tunis","state_government","TN-11","ISO 3166-2:TN","cases_new",1
2020-03-10,"Mahdia","state_government","TN-53","ISO 3166-2:TN","cases_new",1
2020-03-11,"Ariana","state_government","TN-12","ISO 3166-2:TN","cases_new",1
2020-03-12,"Ariana","state_government","TN-12","ISO 3166-2:TN","cases_new",3
2020-03-12,"Tunis","state_government","TN-11","ISO 3166-2:TN","cases_new",3
2020-03-13,"Ariana","state_government","TN-12","ISO 3166-2:TN","cases_new",1
2020-03-13,"Bizerte","state_government","TN-23","ISO 3166-2:TN","cases_new",1
2020-03-13,"Tunis","state_government","TN-11","ISO 3166-2:TN","cases_new",1
2020-03-14,"Ariana","state_government","TN-12","ISO 3166-2:TN","cases_new",1
2020-03-14,"Tataouine","state_government","TN-83","ISO 3166-2:TN","cases_new",1
2020-03-15,"Kairouan","state_government","TN-41","ISO 3166-2:TN","cases_new",1
2020-03-15,"Tunis","state_government","TN-11","ISO 3166-2:TN","cases_new",1
2020-03-16,"Monastir","state_government","TN-52","ISO 3166-2:TN","cases_new",1
2020-03-16,"Sousse","state_government","TN-51","ISO 3166-2:TN","cases_new",1
2020-03-16,"Tunis","state_government","TN-11","ISO 3166-2:TN","cases_new",2
2020-03-17,"Ariana","state_government","TN-12","ISO 3166-2:TN","cases_new",1
2020-03-17,"Kairouan","state_government","TN-41","ISO 3166-2:TN","cases_new",1
2020-03-17,"Sfax","state_government","TN-61","ISO 3166-2:TN","cases_new",1
2020-03-17,"Sousse","state_government","TN-51","ISO 3166-2:TN","cases_new",1
2020-03-17,"Tunis","state_government","TN-11","ISO 3166-2:TN","cases_new",1
2020-03-18,"Ariana","state_government","TN-12","ISO 3166-2:TN","cases_new",2
2020-03-18,"Ben Arous","state_government","TN-13","ISO 3166-2:TN","cases_new",1
2020-03-18,"Gafsa","state_government","TN-71","ISO 3166-2:TN","cases_new",0
2020-03-18,"Mednine","state_government","TN-82","ISO 3166-2:TN","cases_new",1
2020-03-18,"Nabeul","state_government","TN-21","ISO 3166-2:TN","cases_new",1
2020-03-18,"Sousse","state_government","TN-51","ISO 3166-2:TN","cases_new",0
2020-03-18,"Tunis","state_government","TN-11","ISO 3166-2:TN","cases_new",5
2020-03-19,"Ariana","state_government","TN-12","ISO 3166-2:TN","cases_new",4
2020-03-19,"Ben Arous","state_government","TN-13","ISO 3166-2:TN","cases_new",1
2020-03-19,"Monastir","state_government","TN-52","ISO 3166-2:TN","cases_new",2
2020-03-19,"Sousse","state_government","TN-51","ISO 3166-2:TN","cases_new",2
2020-03-19,"Tataouine","state_government","TN-83","ISO 3166-2:TN","cases_new",3
2020-03-19,"Tunis","state_government","TN-11","ISO 3166-2:TN","cases_new",3
2020-03-20,"Ariana","state_government","TN-12","ISO 3166-2:TN","cases_new",1
2020-03-20,"Ben Arous","state_government","TN-13","ISO 3166-2:TN","cases_new",2
2020-03-20,"Mednine","state_government","TN-82","ISO 3166-2:TN","cases_new",2
